,USDRUB,Кукуруза,Молоко сырое,Мясо птицы бройлеров в убойном весе ,Мясо птицы бройлеров в живом весе ,Мясо крупного рогатого скота в убойном весе ,Мясо крупного рогатого скота в живом весе ,Подсолнечник,Пшеница 1-го класса,Пшеница 3-го класса,Пшеница 5-го класса,Сахар (средняя цена по России),Свинина в живом весе,"Свинина в убойном весе, полутуши ",Соевое масло,Соевый шрот,Соя,Яйцо товарное,Подсолнечное масло наливом (мировые цены),Бутилированное подсолнечное масло (рафинированное),Подсолнечный шрот ,Свекла,Колбасы сырокопченые,Мясо индейки (в убойном весе),Мясо индейки (в живом весе),Баранина в живом весе,Баранина в убойном весе ,Какао-бобы (USD),Какао-бобы,"Подсолнечное масло (наливом) не бутилированное, нерафинированное ",Кокосовое масло (USD) ,Кокосовое масло ,Пальмовое масло (USD),Пальмовое масло ,Табак (USD),Табак,Пшеница 4-го класса,"Минтай б/г, Владивосток руб./кг","Минтай б/г, Китай C&F $/т","Сельдь н/р, Владивосток руб./кг","Огурцы тепличные, руб./кг","Томаты тепличные, руб./кг",Колбасы вареные,"Рапс, руб./т","Рапсовое масло EU, $/т","Мука пшеничная, руб./т","Пшеница 12,5% FOB Ново, $/т","Экспортная цена мороженых крабов, $/т","Экспортная цена живых крабов, $/т","Треска, Мурманск","Горбуша, Владивосток","Треска, CFR EU $/т","Кета ПБГ, Владивосток","Нерка ПБГ, Владивосток",Икра красная соленая
2015-09-01,66.787,7.505439999999999,19.75676,92.39090909090908,69.08882000000001,174.96363636363637,97.09338000000001,21.36249,9.73346,8.808969999999999,7.68027,36.52756,105.05516,149.7,590.1767739999999,342.9509967647172,323.4051536975758,36.4023,726.25,61.99999636363636,13.363636363636362,2.8610700000000002,440.5,148.79038169020185,,82.02933999999999,161.99479,3237.0,216189.51900000003,51.66666363636364,1051.59,70232.54133000001,484.0491703038354,32328.191937082258,4887.35833333333,326412.0010083331,8.49451,70.9090909090909,1300.0,65.45454545454545,32.184580000000004,44.56496,217.11024,20.85745,768.1235589999998,15.145290000000001,181.5,,,166.36363636363635,,,,,
2015-10-01,63.1331,7.582520000000001,20.29109,92.88181818181818,68.19967,172.43636363636364,93.30100999999999,22.87803,8.914579999999999,9.06025,8.09793,36.2951,94.50761999999999,133.2090909090909,623.90746,338.21105948621283,368.0329335958475,40.9431,775.0,54.32727272727273,13.363636363636362,3.06588,449.43028000000004,169.87862691687775,,85.28224,174.02701000000002,3134.0,197859.1354,45.27272727272727,1104.09,69704.624379,531.4617173835697,33552.82574974865,4858.43333333333,306727.95747666643,8.662930000000001,70.9090909090909,1350.0,77.27272727272727,58.10554,75.93272999999999,201.47539,21.33691,807.2862221818181,15.277239999999999,195.0,,,167.27272727272725,,,,,
2015-11-01,65.0187,7.83896,21.061490000000003,92.18181818181817,70.82603999999999,171.13636363636363,95.09849,21.657619999999998,6.49533,9.29115,8.15644,35.55436,91.59603999999999,126.55454545454545,614.648056,320.3425982572463,334.091576731002,44.6136,776.67,55.9090909090909,13.363636363636362,3.11051,439.68221,169.87862691687775,,73.18235,172.2294,3306.0,214951.8222,46.590909090909086,1071.07,69639.579009,502.90797126240165,32698.42251111871,4813.09166666667,312940.9631475002,9.36819,80.9090909090909,1550.0,72.72727272727272,79.98087,74.74051,215.04881,21.56247,797.9746719999999,15.658,196.75,,,166.36363636363635,,,,,
2015-12-01,70.1404,8.00907,21.71753,90.99999999999999,70.66608000000001,170.37272727272725,95.38688,21.53234,5.72012,9.886610000000001,8.27811,36.04042,90.03430999999999,127.04545454545453,677.2592639999999,303.8630488819811,315.2931833864649,49.094899999999996,766.25,58.636363636363626,13.363636363636362,3.22717,447.87872999999996,169.87862691687775,,84.24892999999999,150.8821,3291.0,230832.0564,48.86363636363636,1150.0,80661.46,520.6780280717434,36520.56516016331,4789.65,335947.96686,9.74525,80.9090909090909,1300.0,63.63636363636363,108.0097,81.27027000000001,211.63094,22.389470000000003,818.3121425454544,15.45918,191.25,,,171.8181818181818,,,,,
2016-01-01,77.1504,7.78479,21.908630000000002,89.44545454545454,68.46275999999999,172.75454545454545,98.09367999999999,23.065099999999997,9.15253,9.8231,8.46839,37.84716,88.62219,122.68181818181816,659.842766,297.17202114232487,300.3477622928721,49.5168,761.25,61.88655083217044,12.454545454545453,3.36926,451.52106,161.86979048682923,,88.29955,124.42242999999999,2894.0,223273.2576,51.93181818181818,1152.0,88877.2608,532.1372038608741,41054.59813274799,4729.225,364861.60044000007,9.93654,76.36363636363636,1150.0,61.81818181818181,131.94166,115.46288,209.25854,21.18963,777.8332908999998,15.41724,181.25,9.334810503340165,12.135380116959064,179.99999999999997,,,,,
2016-02-01,77.2096,8.96166,21.931279999999997,88.26363636363637,71.09692999999999,169.4363636363636,95.9607,25.00451,10.34451,10.189,9.03158,38.85286,87.57925999999999,128.76363636363635,686.9595919999999,291.3628421986695,316.6681345324934,47.546499999999995,765.0,62.699065722745985,12.454545454545453,5.15889,435.67062,161.86979048682923,,79.00924,188.18999,2847.0,219815.73119999998,52.61363636363636,1218.93,94113.097728,596.0416571715053,46020.13793354906,4666.74166666667,360317.25738666696,10.05779,70.9090909090909,1050.0,72.72727272727272,144.94537,135.20481,207.97769,23.109060000000003,778.9027443809522,15.57141,179.75,9.713732468076197,9.922290388548056,175.45454545454544,,,,,
2016-03-01,69.8752,8.62014,21.920080000000002,86.31818181818181,72.08125,168.38181818181818,98.69213,24.90511,6.0919799999999995,10.36078,8.94807,38.67485,87.38866,118.99090909090907,713.855956,296.17994124682394,345.30334081333575,45.407399999999996,755.0,60.66777849630713,12.454545454545453,7.523,432.46057,161.86979048682923,,84.08993,163.21939,3002.0,209765.35040000002,50.90909090909091,1440.48,100653.82809600001,633.5079093629755,44266.49186831979,4568.8,319245.81376000005,10.59067,71.81818181818181,1060.0,72.72727272727272,120.45387,135.27956,209.48337,24.02986,763.8235616666667,15.77773,179.25,9.121181835217692,9.65821129707113,178.18181818181816,,,,,
2016-04-01,66.4805,8.72565,21.71031,85.12727272727273,67.15105,189.66363636363636,99.12532,23.893939999999997,11.492899999999999,10.14423,8.972940000000001,37.19853,87.97157000000001,139.57272727272726,748.46849,327.70603570385316,364.4106166469867,43.935900000000004,778.0,57.201048296518145,12.454545454545453,,438.66535999999996,160.10814140925447,,86.01010000000001,150.50769,3001.0,199507.9805,47.99999999999999,1580.95,105102.34647500001,680.9674386804546,45271.05580719597,4617.575,306978.6947875,10.187940000000001,70.9090909090909,1100.0,70.9090909090909,98.95286,142.82873999999998,206.99801000000002,26.402369999999998,804.3908331904762,15.40255,186.0,7.19892998371714,10.411614606247252,170.0,,,,,
2016-05-01,65.9479,8.86495,21.32462,85.19999999999999,69.3478,189.89999999999998,98.50837,22.98529,10.5655,9.9186,9.07765,37.418730000000004,88.55566999999999,124.66363636363634,707.021634,407.5023286319769,358.50451644404137,36.6134,790.0,59.04274871515605,12.454545454545453,1.911,430.44286999999997,160.10814140925447,,93.48598,159.06769,3012.0,198635.0748,49.54545454545455,1439.5,94932.00205000001,644.6659997527174,42514.36888509223,4691.04166666667,309364.34672916686,10.03576,69.09090909090908,1100.0,63.63636363636363,70.64448,102.15589999999999,210.83934,26.08225,806.2884932727275,15.26102,188.38,7.6320556191896864,10.37528354196421,157.27272727272725,,,,,
2016-06-01,64.9878,9.843309999999999,20.86018,86.94545454545454,69.66076,190.29999999999998,97.14411,23.460330000000003,11.23317,10.340959999999999,9.18651,38.35644,87.55748,128.80909090909088,703.714704,443.41562084911016,352.5210885735477,32.725100000000005,787.5,61.64279636499778,12.454545454545453,,444.26733,160.10814140925447,,95.62274000000001,169.55339,3105.0,201787.11899999998,51.72727272727272,1547.95,100597.86501,619.5595263292748,40263.81058518164,4826.15833333333,313641.4125349998,9.49423,66.36363636363636,1120.0,63.63636363636363,50.722989999999996,91.04297,213.40908,25.344060000000002,794.4340892727272,15.66281,180.0,7.31859418404304,9.762680078424687,157.27272727272725,,,,,
2016-07-01,64.4309,9.95346,20.52193,92.2181818181818,69.73974000000001,189.66363636363636,96.49331,24.256990000000002,9.99489,10.29247,9.19569,40.49526,91.10023,134.0909090909091,669.763556,403.29150063107306,383.53957495549497,34.3355,764.0,61.85946700248459,12.454545454545453,,432.55669,152.3517627300403,,91.56863,165.67852,3018.0,194452.4562,51.90909090909091,1515.0,97612.81349999999,584.1699162034348,37638.59345391188,4877.84166666667,314283.7286408335,9.39058,60.90909090909091,1150.0,59.090909090909086,39.06771,63.71092,213.15626,23.59614,766.6059590476191,16.2445,165.6,8.301745891717784,9.689502385821404,160.0,,,,,
2016-08-01,64.9556,11.10184,21.153380000000002,93.59090909090908,73.35413,188.0,97.64972999999999,25.16132,9.2131,9.417959999999999,7.614229999999999,41.03629,94.42914,150.7090909090909,711.8717979999999,364.4791304970871,359.6259598864455,34.936,768.75,58.2302338245805,12.454545454545453,2.87518,423.4488,152.3517627300403,,91.71002,166.81251,3001.0,194931.7556,48.86363636363636,1575.0,102305.07,664.5941195977758,43169.10979494529,4888.63333333333,317544.11134666647,8.2324,68.18181818181817,1200.0,54.54545454545454,29.154490000000003,40.95539,219.25932,21.29539,815.0037408695654,16.01175,169.0,7.636546814131554,9.406812602291325,161.8181818181818,,,,,
2016-09-01,64.3891,8.09433,21.21362,94.78181818181818,74.35419,187.4272727272727,96.11204,23.38382,9.12748,8.37185,7.1603900000000005,35.28257,98.50501,151.1,722.674436,342.2455177279166,385.7527128038752,37.731700000000004,778.0,56.00935979034069,12.454545454545453,2.93079,425.75128,152.3517627300403,,81.74501,154.58416,2857.0,183959.6587,46.99999999999999,1557.39,100278.940449,691.2550011344202,44509.2873935443,4976.05833333333,320403.9176308331,8.22048,68.18181818181817,1200.0,57.272727272727266,34.84682,41.33773,213.18964000000003,23.29871,848.0264959090907,15.40953,168.9,8.436393289841565,13.522208385222083,175.45454545454544,,,,,
2016-10-01,62.5923,7.93624,22.25262,99.37272727272726,74.76701,187.14545454545456,96.63461,20.56398,9.284469999999999,8.55124,7.07791,33.783139999999996,100.09425999999999,144.28181818181818,757.28697,337.1197716011618,380.26786042372623,43.4604,775.0,52.54262959055171,12.454545454545453,2.78609,435.82378000000006,160.99085042923653,,87.52772999999999,144.95792,2732.0,171002.1636,44.090909090909086,1473.57,92234.135511,652.7293976796557,40855.83427838431,4944.64166666667,309496.4945925002,9.869399999999999,66.36363636363636,1200.0,54.54545454545454,51.253809999999994,72.2445,213.05362,22.27554,890.1217982380952,15.300600000000001,174.25,17.518557924458815,12.791866338557181,182.72727272727272,,,,,
2016-11-01,64.4536,7.7663199999999994,23.47985,100.5909090909091,79.85327000000001,187.15454545454546,94.90725,19.478080000000002,8.35308,8.517370000000001,7.092779999999999,33.46605,94.07682000000001,135.65454545454546,772.498848,345.6957511422698,350.47026077674485,45.9331,761.25,51.60823746638984,12.454545454545453,2.86116,427.04555,160.99085042923653,,83.52155,147.07424,2478.0,159716.0208,43.30681818181818,1553.41,100122.866776,669.8645864460626,43175.18410895994,4922.625,317280.9027,8.43708,67.27272727272727,1300.0,54.54545454545454,75.19242999999999,72.64388000000001,236.97915,21.49764,896.8855718636364,15.30764,181.75,20.197771587743734,11.939216108538819,180.9090909090909,,,,,
2016-12-01,61.9523,7.68264,23.89406,98.78181818181817,82.17088000000001,187.54545454545453,90.379,18.91751,8.93773,8.90308,7.5033199999999995,32.11647,95.32419,141.29999999999998,800.2770599999999,345.8390515716199,373.3564371298564,48.225699999999996,769.0,51.48094346686634,12.454545454545453,2.83065,430.186,160.99085042923653,,90.49244999999999,157.37789999999998,2263.0,140198.0549,43.2,1727.14,107000.29542200001,711.9465341912705,44106.72527017785,4964.81666666667,307581.81157833355,8.61153,68.18181818181817,1350.0,50.90909090909091,111.04792,82.56303999999999,214.39178,20.363919999999997,925.0555496190477,15.33966,182.5,11.823565939610342,12.847945408693075,178.18181818181816,,,,,
2017-01-01,59.8827,7.57698,25.435959999999998,91.1090909090909,75.42269,188.46363636363634,94.36275,19.00846,7.925557443636363,10.143936363636364,7.436063636363635,28.644510739999998,98.29214999999999,131.79090909090908,771.837462,364.71061580603737,374.73911496976586,46.0964,761.67,49.56371884731582,8.57090909090909,2.86511,447.21663,168.6793843204259,,80.87679,141.53438249999996,2181.0,130604.1687,41.60606363636363,1818.64,108905.07352800001,726.7610803535924,43520.41574649007,4962.56666666667,297171.8909300002,8.306972727272727,57.272727272727266,1050.0,45.45454545454545,123.13738000000001,119.00086999999999,189.64274,23.7278,924.2390571818182,15.19034,184.67,10.267948717948718,12.794538665007002,172.72727272727272,,3480.0,,,
