,USDRUB,Кукуруза,Молоко сырое,Мясо птицы бройлеров в живом весе ,Мясо крупного рогатого скота в живом весе ,Подсолнечник,Пшеница 1-го класса,Пшеница 3-го класса,Пшеница 5-го класса,Сахар (средняя цена по России),Свинина в живом весе,Соевое масло,Соевый шрот,Соя,Яйцо товарное,Подсолнечное масло наливом (мировые цены),Бутилированное подсолнечное масло (рафинированное),Подсолнечный шрот ,Колбасы сырокопченые,Баранина в живом весе,Баранина в убойном весе ,Какао-бобы (USD),Какао-бобы,"Подсолнечное масло (наливом) не бутилированное, нерафинированное ",Кокосовое масло (USD) ,Кокосовое масло ,Пальмовое масло (USD),Пальмовое масло ,Табак (USD),Табак,Пшеница 4-го класса,"Минтай б/г, Владивосток руб./кг","Сельдь н/р, Владивосток руб./кг","Огурцы тепличные, руб./кг","Томаты тепличные, руб./кг",Колбасы вареные,"Рапс, руб./т","Мука пшеничная, руб./т",Карбамид (FOB Южный),"Моноаммонийфосфат, MAP (FOB Балтика)",Апатитовый концетрат (FOB Morocco),Аммиак (FOB Черное море),Аммиачная селитра (FOB Черное море),Хлорид калия (CFR Ю-В Азия),Капролактам импортный контракт (Тайвань и Ю. Корея) CFR Азия,Метанол,"Бензол, CFR Япония","Этилен, CFR Китай","Пшеница 12,5% FOB Ново, руб/т","Минтай б/г, Китай C&F руб/т","Рапсовое масло EU, руб/т"
2018-04-01,60.8577,7.074319999999999,23.0427,63.5069,98.22588,17.98627,7.809026818181818,8.985681818181819,8.267727272727273,28.234859349090904,91.40066,691.14837,504.1567161068884,352.0852743366903,43.1476,748.8,46.48181818181818,14.529090909090908,414.72541,101.51134,177.644845,162307.4859,162307.4859,41.40909090909091,68841.013086,68841.013086,37596.87196234893,37596.87196234893,294314.93726500025,294314.93726500025,8.123863636363636,65.45454545454545,36.36363636363636,81.13417999999999,139.29061,195.4149,21.11766,12.25628,227.125,397.875,81.5,223.125,165.375,282.5,2205.0,318.0,842.5,1336.25,12883.57509,73029.24,48157.04766182959
2018-05-01,62.3484,7.72841,22.1227,65.16062000000001,97.49956,19.08607,8.565619636363635,10.092954545454544,8.975454545454545,30.84769935,96.28865,683.4322,532.1999952174904,359.6627980830302,36.7244,746.25,48.018181818181816,15.938181818181816,441.70844,96.43509,168.7614075,168215.9832,168215.9832,43.15909090909091,64078.5681,64078.5681,37808.167493020235,37808.16749302024,305561.71485,305561.71485,9.312727272727273,63.63636363636363,37.27272727272727,72.61443,107.47654,195.82441,17.127470000000002,12.78919,218.25,396.875,81.5,221.0,156.8,287.875,2038.0,328.625,860.0,1267.5,13186.686599999999,74818.08,50499.24942551874
2018-06-01,62.8213,8.25628,21.63094,67.63719,100.40902,20.44956,8.619077236363635,10.284363636363636,9.062545454545454,29.825896509090917,98.30958,663.06702275,564.3714067449329,380.37098882067073,33.020900000000005,728.2,49.40909090909091,16.259090909090908,431.36667,113.47492,198.58111,152153.1886,152153.1886,42.76363636363636,58498.56634700001,58498.56634700001,36870.58988498372,36870.58988498372,309508.50435083313,309508.5043508332,9.396727272727272,62.72727272727272,37.27272727272727,50.084300000000006,77.11641,195.14974,20.45243,13.4161,242.5,409.125,81.5,240.4,178.125,288.5,2118.0,376.2,837.0,1376.25,12752.7239,74443.2405,52213.34008143956
2018-07-01,62.8276,7.56531,21.42794,72.35203999999999,100.58229,20.10683,8.196652272727272,9.710227272727272,7.581363636363636,27.676827636363637,100.80697,624.1594165714286,553.4626067640221,413.9518300874138,31.6303,719.6,49.27272727272727,15.27090909090909,418.34667,88.84808,155.48414000000002,148775.7568,148775.7568,43.29545454545455,57565.788499999995,57565.7885,33806.142493844294,33806.142493844294,309213.36328666686,309213.36328666686,8.732954545454545,69.09090909090908,37.27272727272727,39.65561,52.24145,215.7624,21.39841,13.82145,257.25,421.25,81.5,259.5,207.5,290.0,2125.0,344.0,843.75,1390.0,12955.051119999998,76963.81,52919.146091715
2018-08-01,66.4554,7.840020000000001,21.43083,73.95111999999999,98.94618,20.7039,8.500706836363635,10.971272727272726,8.841818181818182,25.86126459999999,106.02068,623.0543679130433,554.0284434098933,396.6187849294414,31.0828,696.25,49.99999999999999,13.70363636363636,441.41802,78.97017,138.19779749999998,145205.049,145205.049,44.090909090909086,60821.311188,60821.311188,35504.35055742572,35504.35055742572,330810.55083999975,330810.55083999975,9.210727272727272,70.9090909090909,37.27272727272727,34.49127,43.6997,215.93173,21.575080000000003,14.24721,258.0,430.0,81.5,302.2,217.5,291.0,2140.0,355.3,887.0,1383.75,15268.128149999999,84730.635,56721.67418144268
2018-09-01,67.6286,8.32598,21.87903,74.51127000000001,101.24042,20.02605,8.939649272727271,11.353636363636362,9.918636363636365,30.090795456363637,113.50703,616.19129,552.4827715439379,407.1576226626013,37.674,675.6,51.7,13.347272727272726,420.31626,92.07898,161.138215,151420.43540000002,151420.43540000002,43.37272727272728,60671.645918,60671.645918,35485.512238582014,35485.512238582014,336060.6026916665,336060.6026916665,9.900454545454544,72.72727272727272,38.18181818181818,34.80962,44.263940000000005,218.27353,20.84522,14.93784,273.25,433.625,81.5,331.875,217.5,295.625,2155.0,368.125,862.5,1293.75,14861.384850000002,94680.04000000001,56962.2941017182
2018-10-01,65.85,9.20419,22.52465,77.21378,100.65428,18.57564,9.217351090909087,11.409545454545452,10.335681818181818,33.132,110.52562,637.576104,519.776351211431,399.39848139711467,42.4857,665.4,51.79999999999999,12.852727272727272,440.79685,93.41084,163.46897,140853.15,140853.15,40.29545454545455,54747.0315,54747.0315,33371.541964812204,33371.541964812204,325006.51624999975,325006.5162499997,10.33681818181818,81.81818181818181,43.63636363636363,49.08751,56.5356,221.82479,21.64687,15.33602,301.5,432.5,81.5,340.625,196.875,303.75,2220.0,365.625,826.25,1110.0,15026.969999999998,95482.49999999999,57385.10471760001
2018-11-01,66.5535,8.99835,23.49426,81.02196,100.04217,17.799619999999997,9.508648727272726,11.697818181818182,10.664181818181818,33.74104129636363,108.31424,610.459278,497.8906238794899,330.2508508192657,43.0362,636.75,50.65454545454545,12.465454545454543,451.01902,93.36836,163.39463,145619.058,145619.058,38.704545454545446,50531.41041,50531.41041,29572.282278676135,29572.28227867613,328573.5202749998,328573.5202749998,10.794545454545457,81.8181818181818,42.72727272727273,70.07921,67.92235000000001,224.74861,20.71905,15.73661,298.0,421.25,88.6,327.5,189.5,310.0,2115.0,334.3,696.0,977.5,14907.984,99830.25,57356.5942268865
2018-12-01,67.5835,9.37409,24.44417,83.38466,101.2849,17.354020000000002,9.94845898181818,12.256,11.25181818181818,33.706079170909085,106.61961,621.923302,481.5591756191163,363.11910451515536,49.7218,628.2,51.127272727272725,12.33090909090909,455.77954,93.5075,163.638125,150846.372,150846.372,38.52272727272727,53814.713545,53814.713545,31279.34665790645,31279.346657906448,332454.50041666685,332454.50041666685,11.485636363636363,88.18181818181817,45.45454545454545,116.71304,88.63788000000001,225.65918,20.32661,16.25499,279.1666666666667,410.1666666666667,90.0,302.5,182.5,310.0,1830.0,289.3333333333333,606.6666666666666,880.0,15760.4722,104754.425,55962.476084232
2019-01-01,66.7722,9.71421,24.73348,82.34957,102.94648,18.78,10.458620363636362,12.913181818181815,11.737272727272726,33.20485719999999,99.40312,558.2072669872682,513.9591299699848,439.0776673253512,49.647200000000005,635.25,50.68181818181818,12.272727272727272,463.117590594,94.15437,164.77014749999998,153843.1488,153843.1488,38.60606063636363,51619.584654,51619.584654,34653.58053973034,34653.58053973034,320866.0170099997,320866.0170099997,12.287272727272724,86.36363636363636,47.27272727272727,120.27748,124.62414,222.31863,23.909090909090907,16.98745,270.875,407.75,90.0,263.3333333333333,185.5,309.125,1575.0,275.75,577.5,927.5,16150.859735999999,93481.08,56257.04214662399
